
2024/11/18 (19:39:20) | ===> btop++ v.1.4.0
2024/11/18 (19:39:20) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/11/18 (19:39:20) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/19 (04:59:41) | ===> btop++ v.1.4.0
2024/11/19 (04:59:41) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/11/19 (04:59:42) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/19 (08:24:20) | ===> btop++ v.1.4.0
2024/11/19 (08:24:20) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/11/19 (08:24:20) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/19 (08:28:59) | ===> btop++ v.1.4.0
2024/11/19 (08:28:59) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/11/19 (08:28:59) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/19 (08:37:56) | ===> btop++ v.1.4.0
2024/11/19 (08:37:56) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/11/19 (08:37:56) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/22 (14:10:32) | ===> btop++ v.1.4.0
2024/11/22 (14:10:32) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/11/22 (14:10:32) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/22 (14:13:06) | ===> btop++ v.1.4.0
2024/11/22 (14:13:06) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/11/22 (14:13:06) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/22 (14:41:52) | ===> btop++ v.1.4.0
2024/11/22 (14:41:52) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/11/22 (14:41:52) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/22 (16:12:20) | ===> btop++ v.1.4.0
2024/11/22 (16:12:20) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/11/22 (16:12:20) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/23 (14:25:29) | ===> btop++ v.1.4.0
2024/11/23 (14:25:29) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/11/23 (14:25:29) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/23 (16:25:04) | ===> btop++ v.1.4.0
2024/11/23 (16:25:04) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/11/23 (16:25:04) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/24 (15:10:38) | ===> btop++ v.1.4.0
2024/11/24 (15:10:38) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/11/24 (15:10:38) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/25 (15:20:33) | ===> btop++ v.1.4.0
2024/11/25 (15:20:33) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/11/25 (15:20:33) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/28 (13:49:23) | ===> btop++ v.1.4.0
2024/11/28 (13:49:23) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/11/28 (13:49:23) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/28 (19:52:33) | ===> btop++ v.1.4.0
2024/11/28 (19:52:33) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/11/28 (19:52:33) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/30 (17:15:47) | ===> btop++ v.1.4.0
2024/11/30 (17:15:47) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/11/30 (17:15:47) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/01 (15:04:21) | ===> btop++ v.1.4.0
2024/12/01 (15:04:21) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/12/01 (15:04:21) | WARNING: Intel GPU: Failed to initialize PMU

